С коя структура на главния мозък е свързан гръбначният мозък?;а. междинен мозък;б. малък мозък;в. среден мозък;г. продълговат мозък;г;Тема 3
Дължината на гръбначния мозък при възрастни достига до:;а. 25 см;б. 45 см;в. 75 см;г. 1м;б;Тема 3
На какво ниво в гръбначния стълб завършва долният край на гръбначния мозък?;а. първи или втори гръден прешлен;б. четвърти или пети поясен прешлен;в. втори поясен прешлен;г. гръбначния мозък заема целия гръбначен канал;в;Тема 3
Сивото мозъчно вещество е изградено от:;а. аксони на нервни клетки;б. нервни окончания;в. нервни клетки;г. съединителна тъкан със сив цвят;в;Тема 3
Бялото мозъчно вещество е изградено от:;а. аксони на нервни клетки;б. нервни окончания;в. нервни клетки;г. мастна съединителна тъкан;а;Тема 3
Нервните клетки, чиито аксони провеждат импулсите до мускулите се намират в:;а. продълговатия мозък;б. задните рога на гръбначния мозък;в. предните рога на гръбначния мозък;г. телата на мускулите;в;Тема 3
Коренчетата на гръбначномозъчните нерви се образуват от:;а. телата на нервни клетки;б. аксони на нервни клетки;в. дендрити на нервни клетки;г. еластични и колагенови влакна;б;Тема 3
Коя от следните структури не е част от рефлексна дъга?;а. сетивен неврон;б. двигателен неврон;в. гръбначномозъчна течност;г. гръбначномозъчен възел;в;Тема 3
С коя от следните структури започва рефлексната дъга на коленния рефлекс?;а. сетивен неврон;б. колянно капаче;в. двигателен неврон;г. рецептори в мускулните сухожилия;г;Тема 3
На какво ниво от централната нервна система се включва рефлексната дъга на коленния рефлекс?;а. мозъчна кора.;б. продълговат мозък;в. гръбначен мозък;г. малък мозък;в;Тема 3
Каква структурна особеност имат невроните в гръбначномозъчните нервни възли?;а. имат няколко аксона;б. аксоните нямат миелинова обвивка;в. аксоните не достигат до периферни рецептори;г. имат израстък, който се разделя на два клона;г;Тема 3
Всеки гръбначномозъчен нерв се образува от сливането на:;а. две съседни предни гръбначномозъчни коренчета;б. две съседни задни гръбначномозъчни коренчета;в. едно предно и едно задно гръбначномозъчни коренчета;г. различен брой гръбначномозъчни коренчета в зависимост от нивото на отделянето им;в;Тема 3
Колко чифта гръбначномозъчни нерви излизат от гръбначния мозък?;а 11;б. 31;в. 21;г. 62;б;Тема 3
Какви нервни импулси се провеждат в гръбначномозъчните нерви?;а. сетивни и моторни импулси от гръбначния мозък до главния мозък;б. само сетивни импулси от рецептори в кожата и мускулите до гръбначния мозък;в. само моторни импулси от гръбначния мозък до мускулите;г. сетивни и моторни импулси между гръбначния мозък и периферни органи (кожа и мускули);г;Тема 3
Как се свързват аксоните на сетивните нервните клетки в сивото мозъчно вещество на гръбначния мозък с нервните клетки в предните рога, които изпращат импулси до мускулите?;а. директно или чрез други неврони;б. само чрез директни контакти;в. само чрез други междинни неврони;г. чрез съединително тъканни връзки;а;Тема 3
Веригата от рецептор, сетивен неврон, двигателен неврон и мускул се нарича:;а. рефлекс;б. рецепторна дъга;в. рефлексна дъга;г. гръбначен мозък;в;Тема 3
Коя от следните функции не е характерна за гръбначния мозък?;а. проводна функция;б. контрол на емоциите;в. вегетативна функция;г. рефлексна функция;б;Тема 3
В каква посока се извършва провеждането на нервните импулси в бялото вещество на гръбначния мозък?;а. от мускулите до гръбначномозъчния възел;б. само от гръбначния мозък до главния мозък;в. само от главния мозък до гръбначния мозък;г. от гръбначния мозък до главния и обратно;г;Тема 3
Теглото на човешкия мозък възлиза на около:;а. 1200 г;б. 1350 г;в. 1600 г;г. 1500 г;б;Тема 4
Колко чифта черепно мозъчни нерви излизат от главния мозък?;а 10;б. 11;в. 12;г. 3;в;Тема 4
Кое от изброените не принадлежи към главния мозък?;а. продълговат мозък;б. междинен мозък;в. гръбначен мозък;г. малък мозък;в;Тема 4
Колко мозъчни стомахчета са разположени във вътрешността на главния мозък?;а. 1;б. 2;в. 3;г. 4;г;Тема 4
Кой от изброените центрове за регулация не е в продълговатия мозък?;а. на кръвообращението;б. на дишането;в. на повръщането;г. на половите функции;г;Тема 4
Блуждаещият нерв излиза от:;а. продълговатия мозък;б. моста;в. малкия мозък;г. междинния мозък;а;Тема 4
Блуждаещият нерв провежда нервни импулси към:;а. скелетната мускулатура;б. повечето вътрешни органи и сърцето;в. половите жлези;г. Кожата;б;Тема 4
Мостът е продължение на:;а. гръбначния мозък;б. продълговатия мозък;в. малкия мозък;г. междинния мозък;б;Тема 4
Започващите от моста черепномозъчни нерви не инервират:;а. мимическите мускули;б. дъвкателните мускули;в. околоочните мускули;г. Сърцето;г;Тема 4
Мозъчният ствол не включва:;а. продълговат мозък;б. среден мозък;в. мост;г. малък мозък;г;Тема 4
Средният мозък обработва информация от:;а. вестибуларния орган;б. зрителния анализатор;в. вкусовия анализатор;г. Кожата;б;Тема 4
Увреждането на кой център в продълговатия мозък води до смърт:;а. на дишането;б. на повръщането;в. на слюноотделянето;г. на вкуса;а;Тема 4
От моста започват черепно мозъчни нерви, които не инервират:;а. мимическиге и дъвкателните мускули;б. кожата на лицето, устата и носната кухина;в. слюнчените жлези;г. отделянето на урина;г;Тема 4
Средният мозък е продължение на:;а. гръбначния мозък;б. продълговатия мозък;в. моста;г. малкия мозък;в;Тема 4
Центърът, потискащ болката е разположен в:;а. средния мозък;б. продълговатия мозък;в. малкия мозък;г. Моста;а;Тема 4
Междинният мозък е продължение на:;а. средния мозък;б. моста;в. малкия мозък;г. продълговатия мозък;а;Тема 4
Междинния мозък се състои от:;а. два хълма и подхълмие;б. две подхълмия и хълм;в. хълм и подхълмие;г. два хълма и две подхълмия;а;Тема 4
До кои части на междинния мозък достига информацията от всички сетивни системи?;а. двата хълма;б. единия хълм;в. подхълмието;г. двата хълма и подхълмието;а;Тема 4
Епифизата е прикачена към:;а. продълговатия мозък;б. малкия мозък;в. средния мозък;г. междинния мозък;г;Тема 4
Хипофизата е прикачена към:;а. подхълмието на междинния мозък;б. един от хълмовете на междинния мозък;в. моста;г. малкия мозък;а;Тема 4
Теглото на подхълмието възлиза на около:;а. З г;б. 4 г;в. 2 г;г. 0,5 г;б;Тема 4
Най-важният център, контролиращ вегетативните функции в организма се намира в:;а. подхълмието на междинния мозък;б. хълмовете на междинния мозък;в. моста;г. средния мозък;а;Тема 4
Подхълмието има и хормонална функция защото:;а. образува някой от хормоните на хипофизата;б. контролира функцията на тимуса;в. контролира функцията на черния дроб;г. контролира функцията на жлъчката;а;Тема 4
Кой от изброените центрове за контрол не се намира в подхълмието?;а. за регулиране на телесната температура;б. за регулиране на апетита и жаждата;в. за регулиране на сърдечната дейност и кръвното налягане;г. за регулиране на дишането;г;Тема 4
Къде е разположен центърът, регулиращ ритъма сън-будно състояние?;а. в малкия мозък;б. в продълговатия мозък;в. в хълмовете на междинния мозък;г. в подхълмието на междинния мозък;г;Тема 4
Малкият мозък не е свързан с:;а. продълговатия мозък;б. моста;в. гръбначния мозък;г. средния мозък;в;Тема 4
Функции от сетивен, вегетативен и хормонален характер се обединяват и регулират в:;а. хълмовете на междинния мозък;б. подхълмието на междинния мозък;в. малкия мозък;г. Моста;б;Тема 4
Крайният мозък се състои от:;а. две полукълба, свързани със снопове бяло вещество;б. две полукълба, свързани с моста;в. две полукълба, свързани с мозъчния ствол;г. две полукълба, свързани с подхълмието;а;Тема 4
Струпвания от сиво мозъчно вещество в основата на крайния мозък имат отношение към:;а. дишането;б. сърдечната дейност;в. двигателната дейност;г. образуването на урина;в;Тема 4
Мозъкът на жената е по-лек в сравнение с този при мъжа с около:;а. 150г;б. 100 г;в. 200 г;г. 300 г;б;Тема 4
Мозък на новороденото е:;а 400г;б. 500г;в. 1500г;г. 1000 г;а;Тема 4
Периферно полукълбата на крайния мозък са изградени от мозъчна кора, която е най-силно развита при:;а. риби;б. влечуги;в. птици;г. Човек;г;Тема 4
Кората на крайния мозък при човека е:;а. изградена от сиво вещество и силно нагъната;б. изградена от сиво вещество, по което не се наблюдават нагъвания;в. изградена от бяло вещество и нагъната;г. изградена от бяло вещество, по което не се наблюдават нагъвания;а;Тема 4
Коя от изброените части на главния мозък е свързана с равновесието и мускулния тонус?;а. малък мозък;б. среден мозък;в. продълговат мозък;г. междинен мозък;а;Тема 4
80% от масата на главния мозък се падат на:;а. малкия мозък;б. крайния мозък;в. продълговатия мозък;г. междинния мозък;б;Тема 4
На каква възраст теглото на мозъка на новороденото се удвоява?;а. в края на първата година от живота;б. на 6 годишна възраст;в. през пубертета;г. в климакса;а;Тема 4
Двигателната зона се намира:;а. в задната част на челния дял;б. в предната част на челния дял;в. в задната част на теменния дял;г. в предната част на слепоочния дял;а;Тема 4
При увреждане на двигателната зона в лявото полукълбо настъпва парализа на мускулите:;а. в лявата страна на тялото;б. в дясната страна на тялото;в. двустранна парализа;г. в горната половина на тялото;б;Тема 4
Зоната за обща сетивност е:;а. в задната част на тилния дял;б. в предната част на челния дял;в. в предната част на теменния дял;г. в задната част на теменния дял;в;Тема 4
Чрез повърхностната сетивност човек не възприема:;а. допир и натиск;б. болка;в. вкус;г. Температура;в;Тема 4
Кората на главния мозък има:;а. дебелина от 2 до 5 мм и е изградена от приблизително 100 милиарда неврона, подредени в слоеве;б. дебелина от 1 до 2 мм и е изградена от приблизително 140 милиарда неврона, подредени в слоеве;в. дебелина от 2 до 5 мм и е изградена от приблизително 10 милиарда неврона, подредени в слоеве;г. дебелина от 1 до 2 мм и е изградена приблизително от 10 милиарда неврона, подредени в слоеве;а;Тема 4
Дясното полукълбо е свързано с:;а. музикалните способности;б. математически възможности;в. абстрактното мислене;г. логическото мислене;а;Тема 4
Зрителната зона е разположена в:;а. челния мозъчен дял;б. теменния мозъчен дял;в. тилния мозъчен дял;г. слепоочния дял на мозъка;в;Тема 4
Слуховата зона е разположена в:;а. слепоочния дял;б. теменния дял;в. тилния дял;г. челния дял;а;Тема 4
В малки поленца, в основата на полукълбата се намира:;а. вкусовата зона;б. слуховата зона;в. обонятелната зона;г. равновесната зона;в;Тема 4
Дълбоката сетивност осигурява информация за:;а. положението на тялото в пространството;б. болка;в. допир;г. Натиск;а;Тема 4
Лявото полукълбо е свързано с:;а. ориентиране в дадена местност;б. музикални способности;в. художествени способности;г. математически възможности;г;Тема 4
Дясното полукълбо не е свързано с:;а. ориентиране в дадена местност;б. музикални способности;в. художествени способности;г. абстрактно мислене;г;Тема 4
Нервните клетки умират бързо при недостиг на:;а. кислород;б. въглероден диоксид;в. азотен оксид;г. Вода;а;Тема 4
Центърът на човешката реч при десничарите и при две трети от левичарите е в:;а. лявото полукълбо;б. дясното полукълбо;в. мазолестото тяло;г. базалните ядра;а;Тема 4
Кои органи не получават импулси от вегетативната нервна система?;а. стомах;б. сърце;в. скелетни мускули;г. тънко черво;в;Тема 5
Централната част на симпатиковия дял на вегетативната нервна система се намира в:;а. бялото вещество на главния мозък.;б. сивото вещество на шийната част на гръбначния мозък.;в. сивото вещество на гръдната част на гръбначния МОЗЪК.;г. сивото вещество на главния мозък.;в;Тема 5
Централната част на парасимпатикуса се намира в:;а. една област на мозъчния ствол и в сивото вещество на гръдната част на гръбначния мозък;б. две области на мозъчния ствол й в сивото вещество на шийната част на гръбначния мозък;в. три области на мозъчния ствол и в сивото вещество на коремната част на гръбначния мозък;г. четири области на мозъчния ствол и в сивото вещество на кръстцовата част на гръбначния мозък;г;Тема 5
Симпатиковият и парасимпатиковият дял на вегетативната нервна система действат:;а. несъгласувано;б. съвместно;в. противоположно;г. не си взаимодействат;в;Тема 5
Посочете грешното твърдение за симпатикуса:;а. ускорява сърдечната дейност;б. стеснява кръвоносните съдове;в. стеснява въздухоносните пътища;г. повишава кръвното налягане.;в;Тема 5
Посочете вярното твърдение за парасимпатикуса:;а. повишава дихателната активност;б. намалява перисталтиката на червата;в. понижава кръвното налягане;г. разширява зеницата;в;Тема 5
Централната част на симпатикуса и парасимпатикуса са под контрола на:;а. продълговатия мозък;б. подхълмието на междинния мозък;в. малкия мозък;г. хълмовете на междинния мозък;б;Тема 5
Блуждаещият нерв е част от:;а. симпатикуса;б. парасимпатикуса;в. соматичната нервна система;г. нито едно от посочените;б;Тема 5
Кои са двете части на вегетативната нервна система?;а. автономна и соматична;б. централна и периферна;в. симпатикова и парасимпатикова;г. нито едно от посочените;в;Тема 5
Влияе ли се дейността на вегетативната нервна система от емоционалното състояние на човека?;а. зависи от други фактори;б. не;в. да;г. нито едно от посочените;в;Тема 5
Кой дял на вегетативната нервна система позволява на организма да се възстанови, както и да съхрани своите сили и енергия?;а. симпатиковия;б. парасимпатиковия;в. периферния;г. нито един от посочените;б;Тема 5
Кой дял на вегетативната нервна система позволява на организма да повиши своята физическа активност?;а. симпатиковия;б. парасимпатиковия;в. периферния;г. централния;а;Тема 5
Коя част на нервната система не е под волев контрол?;а. централната;б. периферната;в. соматичната;г. вегетативната;г;Тема 5
Кой дял на нервната система контролира постоянството на телесната температура на тялото?;а. централна;б. периферна;в. соматична;г. вегетативна;г;Тема 5
Вегетативната нервна система не контролира:;а. храносмилането;б. кръвообращението;в. размножаването;г. движението на тялото в пространството;г;Тема 5
Кой дял на нервната система контролира вътрешната среда на организма?;а. централната;б. периферната;в. соматичната;г. вегетативната;г;Тема 5
Коя реакция е израз на действието на симпатикуса?;а. намалена сърдечна дейност;б. забавено дишане;в. намалена перисталтика и секреция на храносмилателни сокове;г. понижена температура;в;Тема 5
Коя реакция е израз на действието на парасимпатикуса?;а. ускорена сърдечна дейност;б. ускорено дишане;в. повишено кръвно налягане;г. засилена перисталтика и секреция на храносмилателни сокове;г;Тема 5
Ендокринната система е съставена от:;а. жлези с външна секреция;б. жлези с вътрешна секреция;в. жлези със смесена секреция;г. жлези с независима секреция;б;Тема 6
В поддържането на хомеостазата участват:;а. нервната система и ендокринната система;б. нервната система и храносмилателна система;в. кръвоносната система и храносмилателната система;г. ендокринната система и кръвоносната система;а;Тема 6
